COUNTRY_REGION,CONTINENTEXP,ISO3166_1,CASES_WEEKLY,DEATHS_WEEKLY,DATE,PEOPLE_FULLY_VACCINATED_WEEKLY,PEOPLE_VACCINATED_WEEKLY,WEEKLY_VACCINATIONS,DEATHS_PER_1000CASES_RATIO,WEEKLY_VAC_X1000,PEOPLE_FULLY_VAC_WEEKLY_PER1000,PEOPLE_VAC_WEEKLY_PER1000,CASES_WEEKLY_X1000
Austria,Europe,AT,14916.0,517.0,2021-01-04,3.0,31772.0,24536.0,34.7,24.5,0.0,31.8,14.916
Austria,Europe,AT,14636.0,436.0,2021-01-04,3.0,31772.0,24536.0,29.8,24.5,0.0,31.8,14.636
Austria,Europe,AT,10948.0,450.0,2021-01-11,413.0,117207.0,86650.0,41.1,86.7,0.4,117.2,10.948
Austria,Europe,AT,10156.0,400.0,2021-01-18,5078.0,210927.0,92942.0,39.4,92.9,5.1,210.9,10.156
Austria,Europe,AT,9513.0,369.0,2021-01-25,22730.0,242645.0,62530.0,38.8,62.5,22.7,242.6,9.513
Austria,Europe,AT,9115.0,298.0,2021-02-01,102623.0,261361.0,89856.0,32.7,89.9,102.6,261.4,9.115
Austria,Europe,AT,9458.0,253.0,2021-02-08,191427.0,290286.0,113219.0,26.7,113.2,191.4,290.3,9.458
Austria,Europe,AT,11627.0,218.0,2021-02-15,231289.0,354057.0,108350.0,18.7,108.4,231.3,354.1,11.627
Austria,Europe,AT,14178.0,224.0,2021-02-22,252766.0,461280.0,126321.0,15.8,126.3,252.8,461.3,14.178
Austria,Europe,AT,16313.0,190.0,2021-03-01,267987.0,616346.0,167489.0,11.6,167.5,268.0,616.3,16.313
Austria,Europe,AT,18218.0,214.0,2021-03-08,299008.0,845268.0,240728.0,11.7,240.7,299.0,845.3,18.218
Austria,Europe,AT,21074.0,246.0,2021-03-15,347186.0,1037036.0,244877.0,11.7,244.9,347.2,1037.0,21.074
Austria,Europe,AT,22296.0,216.0,2021-03-22,441072.0,1193500.0,246937.0,9.7,246.9,441.1,1193.5,22.296
Austria,Europe,AT,20779.0,271.0,2021-03-29,522752.0,1337870.0,239230.0,13.0,239.2,522.8,1337.9,20.779
Austria,Europe,AT,17589.0,251.0,2021-04-05,661789.0,1555064.0,331291.0,14.3,331.3,661.8,1555.1,17.589
Austria,Europe,AT,15046.0,200.0,2021-04-19,821048.0,2127931.0,360069.0,13.3,360.1,821.0,2127.9,15.046
Austria,Europe,AT,12529.0,194.0,2021-04-26,890789.0,2419044.0,365690.0,15.5,365.7,890.8,2419.0,12.529
Austria,Europe,AT,9016.0,157.0,2021-05-03,1015822.0,2756010.0,435109.0,17.4,435.1,1015.8,2756.0,9.016
Austria,Europe,AT,5736.0,105.0,2021-05-10,1129222.0,3078478.0,441735.0,18.3,441.7,1129.2,3078.5,5.736
Austria,Europe,AT,4152.0,73.0,2021-05-17,1323411.0,3443295.0,519526.0,17.6,519.5,1323.4,3443.3,4.152
Austria,Europe,AT,3155.0,72.0,2021-05-24,1572100.0,3701057.0,510527.0,22.8,510.5,1572.1,3701.1,3.155
Austria,Europe,AT,2423.0,48.0,2021-05-31,1865647.0,4013690.0,569975.0,19.8,570.0,1865.6,4013.7,2.423
Austria,Europe,AT,1686.0,37.0,2021-06-07,2228669.0,4311598.0,625336.0,21.9,625.3,2228.7,4311.6,1.686
Austria,Europe,AT,1002.0,33.0,2021-06-14,2587058.0,4567831.0,608624.0,32.9,608.6,2587.1,4567.8,1.002
Austria,Europe,AT,681.0,19.0,2021-06-21,3001085.0,4780781.0,615027.0,27.9,615.0,3001.1,4780.8,0.681
Austria,Europe,AT,632.0,24.0,2021-06-28,3451574.0,4982328.0,617022.0,38.0,617.0,3451.6,4982.3,0.632
Austria,Europe,AT,1088.0,12.0,2021-07-05,3825406.0,5134769.0,522728.0,11.0,522.7,3825.4,5134.8,1.088
Austria,Europe,AT,2197.0,14.0,2021-07-12,4159436.0,5245966.0,438425.0,6.4,438.4,4159.4,5246.0,2.197
Austria,Europe,AT,2529.0,16.0,2021-07-19,4457963.0,5338010.0,380844.0,6.3,380.8,4458.0,5338.0,2.529
Austria,Europe,AT,3261.0,15.0,2021-07-26,4723579.0,5395358.0,321309.0,4.6,321.3,4723.6,5395.4,3.261
Austria,Europe,AT,3662.0,19.0,2021-08-02,4949841.0,5452215.0,271767.0,5.2,271.8,4949.8,5452.2,3.662
Austria,Europe,AT,5903.0,16.0,2021-08-09,5104538.0,5491228.0,199196.0,2.7,199.2,5104.5,5491.2,5.903
Austria,Europe,AT,8066.0,13.0,2021-08-16,5224409.0,5537256.0,156166.0,1.6,156.2,5224.4,5537.3,8.066
Austria,Europe,AT,9437.0,34.0,2021-08-23,5288780.0,5585397.0,110209.0,3.6,110.2,5288.8,5585.4,9.437
Austria,Europe,AT,11273.0,44.0,2021-08-30,5341513.0,5634739.0,94132.0,3.9,94.1,5341.5,5634.7,11.273
Austria,Europe,AT,14084.0,51.0,2021-09-06,5388610.0,5688935.0,94060.0,3.6,94.1,5388.6,5688.9,14.084
Austria,Europe,AT,13761.0,86.0,2021-09-13,5437045.0,5747770.0,106019.0,6.2,106.0,5437.0,5747.8,13.761
Austria,Europe,AT,11753.0,73.0,2021-09-20,5485104.0,5803799.0,112577.0,6.2,112.6,5485.1,5803.8,11.753
Austria,Europe,AT,12600.0,80.0,2021-09-27,5528283.0,5847952.0,115749.0,6.3,115.7,5528.3,5848.0,12.6
Austria,Europe,AT,15338.0,106.0,2021-10-11,5614360.0,5913262.0,137612.0,6.9,137.6,5614.4,5913.3,15.338
Austria,Europe,AT,23830.0,112.0,2021-10-18,5654961.0,5950215.0,152481.0,4.7,152.5,5655.0,5950.2,23.83
Austria,Europe,AT,34557.0,141.0,2021-10-25,5689024.0,6003786.0,156235.0,4.1,156.2,5689.0,6003.8,34.557
Austria,Europe,AT,56412.0,208.0,2021-11-01,5726999.0,6083947.0,255005.0,3.7,255.0,5727.0,6083.9,56.412
Austria,Europe,AT,78621.0,334.0,2021-11-08,5774657.0,6222882.0,465139.0,4.2,465.1,5774.7,6222.9,78.621
Austria,Europe,AT,97085.0,395.0,2021-11-15,5831434.0,6338821.0,661941.0,4.1,661.9,5831.4,6338.8,97.085
Austria,Europe,AT,29146.0,406.0,2021-12-06,6092932.0,6575291.0,696752.0,13.9,696.8,6092.9,6575.3,29.146
Austria,Europe,AT,18844.0,281.0,2021-12-13,6200315.0,6647425.0,661461.0,14.9,661.5,6200.3,6647.4,18.844
Austria,Europe,AT,14605.0,172.0,2021-12-20,6262472.0,6682680.0,393280.0,11.8,393.3,6262.5,6682.7,14.605
Austria,Europe,AT,23029.0,128.0,2021-12-27,6315016.0,6707225.0,257060.0,5.6,257.1,6315.0,6707.2,23.029
Austria,Europe,AT,62194.0,91.0,2022-01-03,6382719.0,6738714.0,288632.0,1.5,288.6,6382.7,6738.7,62.194
Austria,Europe,AT,110554.0,69.0,2022-01-10,6447765.0,6774368.0,324332.0,0.6,324.3,6447.8,6774.4,110.554
Austria,Europe,AT,175980.0,80.0,2022-01-17,6486888.0,6803541.0,261573.0,0.5,261.6,6486.9,6803.5,175.98
Austria,Europe,AT,227274.0,109.0,2022-01-24,6519956.0,6823970.0,209760.0,0.5,209.8,6520.0,6824.0,227.274
Austria,Europe,AT,231847.0,141.0,2022-01-31,6552854.0,6837231.0,196200.0,0.6,196.2,6552.9,6837.2,231.847
Austria,Europe,AT,216386.0,181.0,2022-02-07,6577677.0,6846623.0,123120.0,0.8,123.1,6577.7,6846.6,216.386
Austria,Europe,AT,195511.0,197.0,2022-02-14,6594820.0,6852557.0,68961.0,1.0,69.0,6594.8,6852.6,195.511
Austria,Europe,AT,185349.0,219.0,2022-02-21,6606812.0,6856666.0,45996.0,1.2,46.0,6606.8,6856.7,185.349
Austria,Europe,AT,217009.0,221.0,2022-02-28,6615616.0,6861174.0,37103.0,1.0,37.1,6615.6,6861.2,217.009
Austria,Europe,AT,299203.0,195.0,2022-03-07,6622219.0,6864031.0,29864.0,0.7,29.9,6622.2,6864.0,299.203
Austria,Europe,AT,315892.0,239.0,2022-03-14,6626829.0,6866115.0,25080.0,0.8,25.1,6626.8,6866.1,315.892
Austria,Europe,AT,248044.0,290.0,2022-03-21,6631502.0,6868259.0,24882.0,1.2,24.9,6631.5,6868.3,248.044
Austria,Europe,AT,151681.0,285.0,2022-03-28,6635202.0,6869917.0,23778.0,1.9,23.8,6635.2,6869.9,151.681
Austria,Europe,AT,96521.0,216.0,2022-04-04,6638026.0,6871423.0,22407.0,2.2,22.4,6638.0,6871.4,96.521
Austria,Europe,AT,63286.0,162.0,2022-04-11,6640142.0,6872573.0,20101.0,2.6,20.1,6640.1,6872.6,63.286
Austria,Europe,AT,48996.0,129.0,2022-04-18,6642597.0,6873670.0,21414.0,2.6,21.4,6642.6,6873.7,48.996
Austria,Europe,AT,40350.0,91.0,2022-04-25,6645412.0,6874764.0,25362.0,2.3,25.4,6645.4,6874.8,40.35
Austria,Europe,AT,36971.0,80.0,2022-05-02,6648164.0,6875740.0,26556.0,2.2,26.6,6648.2,6875.7,36.971
Austria,Europe,AT,29760.0,42.0,2022-05-09,6650631.0,6876695.0,27118.0,1.4,27.1,6650.6,6876.7,29.76
Austria,Europe,AT,20282.0,36.0,2022-05-16,6652568.0,6877588.0,26044.0,1.8,26.0,6652.6,6877.6,20.282
Austria,Europe,AT,15294.0,33.0,2022-05-23,6653890.0,6878291.0,19801.0,2.2,19.8,6653.9,6878.3,15.294
Austria,Europe,AT,25414.0,24.0,2022-06-06,6656721.0,6879677.0,20655.0,0.9,20.7,6656.7,6879.7,25.414
Austria,Europe,AT,60223.0,38.0,2022-06-20,6659298.0,6880982.0,33119.0,0.6,33.1,6659.3,6881.0,60.223
Austria,Europe,AT,71280.0,49.0,2022-06-27,6660627.0,6881663.0,48390.0,0.7,48.4,6660.6,6881.7,71.28
Austria,Europe,AT,83410.0,61.0,2022-07-11,6663115.0,6883225.0,70155.0,0.7,70.2,6663.1,6883.2,83.41
Austria,Europe,AT,79546.0,96.0,2022-07-18,6664185.0,6883846.0,61991.0,1.2,62.0,6664.2,6883.8,79.546
Austria,Europe,AT,54660.0,103.0,2022-07-25,6665161.0,6884495.0,53064.0,1.9,53.1,6665.2,6884.5,54.66
Austria,Europe,AT,42903.0,68.0,2022-08-01,6665955.0,6885043.0,43860.0,1.6,43.9,6666.0,6885.0,42.903
Austria,Europe,AT,37657.0,62.0,2022-08-15,6667559.0,6886193.0,41015.0,1.6,41.0,6667.6,6886.2,37.657
Austria,Europe,AT,33704.0,53.0,2022-08-22,6668454.0,6886817.0,46416.0,1.6,46.4,6668.5,6886.8,33.704
Austria,Europe,AT,29627.0,38.0,2022-08-29,6669452.0,6887619.0,54149.0,1.3,54.1,6669.5,6887.6,29.627
Austria,Europe,AT,28960.0,47.0,2022-09-05,6670387.0,6888433.0,60776.0,1.6,60.8,6670.4,6888.4,28.96
Austria,Europe,AT,36219.0,30.0,2022-09-12,6671204.0,6889081.0,58031.0,0.8,58.0,6671.2,6889.1,36.219
Austria,Europe,AT,52258.0,38.0,2022-09-19,6671971.0,6889695.0,58255.0,0.7,58.3,6672.0,6889.7,52.258
Austria,Europe,AT,83434.0,47.0,2022-09-26,6672915.0,6890334.0,82168.0,0.6,82.2,6672.9,6890.3,83.434
Austria,Europe,AT,97846.0,103.0,2022-10-03,6673835.0,6891086.0,107627.0,1.1,107.6,6673.8,6891.1,97.846
Austria,Europe,AT,86396.0,87.0,2022-10-10,6674789.0,6891902.0,120294.0,1.0,120.3,6674.8,6891.9,86.396
Austria,Europe,AT,37085.0,76.0,2022-10-24,6676307.0,6893250.0,82188.0,2.0,82.2,6676.3,6893.3,37.085
Austria,Europe,AT,29394.0,52.0,2022-10-31,6676905.0,6893756.0,73907.0,1.8,73.9,6676.9,6893.8,29.394
Austria,Europe,AT,24783.0,53.0,2022-11-07,6677600.0,6894379.0,87891.0,2.1,87.9,6677.6,6894.4,24.783
Austria,Europe,AT,27034.0,55.0,2022-11-14,6678220.0,6895097.0,85973.0,2.0,86.0,6678.2,6895.1,27.034
Austria,Europe,AT,30238.0,43.0,2022-11-21,6678724.0,6895707.0,76942.0,1.4,76.9,6678.7,6895.7,30.238
Austria,Europe,AT,33270.0,53.0,2022-11-28,6679241.0,6896265.0,71701.0,1.6,71.7,6679.2,6896.3,33.27
Austria,Europe,AT,33258.0,42.0,2022-12-05,6679629.0,6896710.0,55064.0,1.3,55.1,6679.6,6896.7,33.258
Austria,Europe,AT,34730.0,58.0,2022-12-12,6680148.0,6897270.0,51217.0,1.7,51.2,6680.1,6897.3,34.73
Austria,Europe,AT,32948.0,73.0,2022-12-19,6680466.0,6897554.0,29295.0,2.2,29.3,6680.5,6897.6,32.948
Austria,Europe,AT,24803.0,77.0,2022-12-26,6680653.0,6897765.0,14363.0,3.1,14.4,6680.7,6897.8,24.803
Austria,Europe,AT,18797.0,64.0,2023-01-02,6680930.0,6897991.0,13703.0,3.4,13.7,6680.9,6898.0,18.797
Austria,Europe,AT,14951.0,54.0,2023-01-09,6681297.0,6898335.0,17672.0,3.6,17.7,6681.3,6898.3,14.951
Austria,Europe,AT,13848.0,45.0,2023-01-16,6681527.0,6898555.0,15099.0,3.2,15.1,6681.5,6898.6,13.848
Austria,Europe,AT,19928.0,48.0,2023-01-23,6681716.0,6898733.0,11247.0,2.4,11.2,6681.7,6898.7,19.928
Austria,Europe,AT,26725.0,47.0,2023-01-30,6681903.0,6898901.0,8717.0,1.8,8.7,6681.9,6898.9,26.725
Austria,Europe,AT,28849.0,37.0,2023-02-06,6682072.0,6899016.0,6585.0,1.3,6.6,6682.1,6899.0,28.849
Austria,Europe,AT,34144.0,35.0,2023-02-13,6682220.0,6899122.0,5626.0,1.0,5.6,6682.2,6899.1,34.144
Austria,Europe,AT,38954.0,59.0,2023-02-20,6682344.0,6899216.0,5078.0,1.5,5.1,6682.3,6899.2,38.954
Austria,Europe,AT,37924.0,64.0,2023-02-27,6682488.0,6899304.0,6344.0,1.7,6.3,6682.5,6899.3,37.924
Austria,Europe,AT,33257.0,60.0,2023-03-06,6682595.0,6899379.0,4589.0,1.8,4.6,6682.6,6899.4,33.257
Austria,Europe,AT,27076.0,56.0,2023-03-13,6682694.0,6899444.0,3634.0,2.1,3.6,6682.7,6899.4,27.076
Austria,Europe,AT,13065.0,45.0,2023-03-27,6682850.0,6899567.0,3043.0,3.4,3.0,6682.9,6899.6,13.065
Austria,Europe,AT,7160.0,31.0,2023-04-10,6682951.0,6899643.0,1578.0,4.3,1.6,6683.0,6899.6,7.16
Austria,Europe,AT,5175.0,24.0,2023-04-24,6683064.0,6899714.0,1812.0,4.6,1.8,6683.1,6899.7,5.175
Austria,Europe,AT,3629.0,22.0,2023-05-01,6683089.0,6899739.0,1226.0,6.1,1.2,6683.1,6899.7,3.629
Austria,Europe,AT,2825.0,11.0,2023-05-08,6683120.0,6899768.0,1061.0,3.9,1.1,6683.1,6899.8,2.825
Austria,Europe,AT,2219.0,14.0,2023-05-15,6683145.0,6899782.0,775.0,6.3,0.8,6683.1,6899.8,2.219
Austria,Europe,AT,2117.0,10.0,2023-05-22,6683173.0,6899806.0,856.0,4.7,0.9,6683.2,6899.8,2.117
Austria,Europe,AT,1412.0,9.0,2023-05-29,6683192.0,6899821.0,691.0,6.4,0.7,6683.2,6899.8,1.412
Austria,Europe,AT,1087.0,7.0,2023-06-05,6683216.0,6899844.0,569.0,6.4,0.6,6683.2,6899.8,1.087
Austria,Europe,AT,970.0,5.0,2023-06-12,6683230.0,6899858.0,573.0,5.2,0.6,6683.2,6899.9,0.97
Austria,Europe,AT,825.0,5.0,2023-06-19,6683246.0,6899866.0,442.0,6.1,0.4,6683.2,6899.9,0.825
